,delta_idx
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,18
17,20
18,21
19,22
20,23
21,24
22,25
23,26
24,27
25,28
26,29
27,30
28,31
29,33
30,35
31,36
32,37
33,38
34,39
35,40
36,41
37,42
38,43
39,45
40,46
41,47
42,49
43,50
44,51
45,52
46,53
47,54
48,55
49,56
50,57
51,58
52,59
53,60
54,61
55,64
56,65
57,66
58,67
59,68
60,69
61,70
62,71
63,72
64,75
65,78
66,79
67,81
68,82
69,83
70,85
71,86
72,87
73,88
74,89
75,90
76,91
77,94
78,98
79,100
80,101
81,103
82,104
83,105
84,109
85,110
86,111
87,113
88,115
89,116
90,119
91,120
92,123
93,124
94,127
95,128
96,130
97,131
98,132
99,133
100,134
101,135
102,136
103,137
104,138
105,139
106,141
107,142
108,143
109,145
110,147
111,151
112,155
113,156
114,161
115,162
116,163
117,164
118,165
119,167
120,168
121,171
122,175
123,176
124,177
125,178
126,180
127,181
128,182
129,186
130,187
131,188
132,191
133,192
134,193
135,195
136,196
137,197
138,199
139,200
140,202
141,203
142,204
143,209
144,212
145,214
146,215
147,216
148,218
149,219
150,220
151,223
152,224
153,227
154,228
155,229
156,230
157,234
158,235
159,237
160,243
161,245
162,246
163,247
164,248
165,254
166,255
167,256
168,257
169,258
170,260
171,261
172,262
173,263
174,264
175,266
176,267
177,270
178,271
179,272
180,274
181,275
182,277
183,278
184,279
185,280
186,281
187,282
188,283
189,285
190,287
191,288
192,289
193,292
194,293
195,296
196,297
197,298
198,301
199,303
200,304
201,305
202,306
203,307
204,310
205,312
206,313
207,315
208,316
209,317
210,325
211,328
212,329
213,330
214,331
215,332
216,333
217,340
218,344
219,345
220,346
221,350
222,352
223,354
224,355
225,356
226,357
227,358
228,359
229,360
230,361
231,362
232,363
233,364
234,366
235,367
236,369
237,372
238,373
239,374
240,376
241,377
242,378
243,381
244,382
245,383
246,386
247,388
248,389
249,391
250,394
251,395
252,396
253,397
254,398
255,399
256,400
257,404
258,405
259,410
260,412
261,413
262,418
263,420
264,423
265,425
266,426
267,429
268,433
269,434
270,435
271,437
272,438
273,439
274,440
275,446
276,447
277,449
278,453
279,454
280,456
281,460
282,461
283,466
284,471
285,473
286,478
287,480
288,481
289,482
290,483
291,484
292,486
293,487
294,488
295,489
296,495
297,496
298,499
299,502
300,504
301,505
302,506
303,508
304,509
305,510
306,513
307,514
308,520
309,521
310,522
311,524
312,528
313,532
314,535
315,536
316,538
317,542
318,544
319,550
320,552
321,553
322,554
323,555
324,557
325,558
326,560
327,562
328,563
329,565
330,566
331,568
332,569
333,571
334,572
335,574
336,575
337,578
338,580
339,582
340,583
341,585
342,586
343,587
344,588
345,593
346,595
347,597
348,599
349,600
350,601
351,603
352,605
353,606
354,608
355,610
356,611
357,612
358,613
359,615
360,616
361,617
362,619
363,621
364,622
365,623
366,626
367,632
368,633
369,634
370,636
371,641
372,642
373,644
374,645
375,648
376,650
377,651
378,652
379,655
380,657
381,660
382,661
383,663
384,665
385,668
386,669
387,670
388,674
389,675
390,677
391,678
392,687
393,688
394,690
395,691
396,693
397,698
398,701
399,702
400,703
401,704
402,705
403,706
404,707
405,708
406,712
407,714
408,715
409,721
410,723
411,724
412,727
413,729
414,732
415,733
416,737
417,741
418,742
419,747
420,748
421,751
422,755
423,756
424,758
425,760
426,761
427,763
428,764
429,765
430,767
431,773
432,781
433,783
434,785
435,789
436,794
437,796
438,800
439,804
440,806
441,807
442,808
443,809
444,810
445,813
446,814
447,815
448,817
449,818
450,819
451,820
452,821
453,823
454,824
455,825
456,826
457,828
458,831
459,832
460,835
461,836
462,838
463,839
464,840
465,843
466,844
467,850
468,852
469,858
470,864
471,866
472,867
473,868
474,870
475,871
476,872
477,874
478,876
479,878
480,886
481,887
482,890
483,896
484,897
485,899
486,900
487,901
488,902
489,903
490,907
491,909
492,911
493,913
494,914
495,915
496,919
497,921
498,922
499,924
500,926
501,927
502,929
503,934
504,935
505,941
506,943
507,957
508,959
509,963
510,964
511,967
512,980
513,981
514,982
515,983
516,985
517,986
518,987
519,992
520,995
521,998
522,999
523,1000
524,1001
525,1003
526,1006
527,1013
528,1014
529,1017
530,1019
531,1021
532,1027
533,1030
534,1034
535,1037
536,1039
537,1043
538,1044
539,1053
540,1055
541,1057
542,1058
543,1062
544,1063
545,1064
546,1066
547,1067
548,1068
549,1069
550,1071
551,1072
552,1073
553,1077
554,1078
555,1079
556,1081
557,1085
558,1086
559,1087
560,1088
561,1089
562,1090
563,1091
564,1092
565,1094
566,1095
567,1097
568,1099
569,1105
570,1111
571,1113
572,1115
573,1116
574,1117
575,1119
576,1120
577,1121
578,1127
579,1128
580,1129
581,1131
582,1135
583,1136
584,1137
585,1138
586,1139
587,1141
588,1142
589,1153
590,1154
591,1155
592,1157
593,1159
594,1161
595,1163
596,1167
597,1168
598,1171
599,1177
600,1182
601,1186
602,1187
603,1190
604,1191
605,1192
606,1193
607,1196
608,1198
609,1201
610,1205
611,1208
612,1210
613,1214
614,1216
615,1220
616,1221
617,1223
618,1224
619,1227
620,1233
621,1235
622,1236
623,1237
624,1238
625,1241
626,1244
627,1253
628,1257
629,1258
630,1260
631,1263
632,1264
633,1265
634,1268
635,1274
636,1276
637,1277
638,1278
639,1282
640,1283
641,1286
642,1292
643,1295
644,1297
645,1299
646,1300
647,1302
648,1303
649,1304
650,1305
651,1313
652,1315
653,1317
654,1319
655,1323
656,1325
657,1327
658,1329
659,1332
660,1333
661,1334
662,1341
663,1342
664,1349
665,1351
666,1352
667,1355
668,1356
669,1358
670,1367
671,1368
672,1370
673,1371
674,1373
675,1375
676,1376
677,1377
678,1381
679,1382
680,1385
681,1389
682,1390
683,1395
684,1396
685,1397
686,1398
687,1400
688,1404
689,1405
690,1406
691,1407
692,1418
693,1419
694,1421
695,1426
696,1428
697,1430
698,1431
699,1435
700,1443
701,1446
702,1449
703,1450
704,1451
705,1453
706,1455
707,1456
708,1457
709,1458
710,1466
711,1468
712,1471
713,1472
714,1474
715,1476
716,1479
717,1480
718,1482
719,1485
720,1489
721,1493
722,1497
723,1498
724,1499
725,1505
726,1506
727,1508
728,1513
729,1515
730,1516
731,1520
732,1521
733,1523
734,1536
735,1537
736,1543
737,1546
738,1547
739,1549
740,1551
741,1553
742,1556
743,1558
744,1562
745,1567
746,1569
747,1576
748,1577
749,1578
750,1579
751,1581
752,1584
753,1587
754,1595
755,1597
756,1598
757,1599
758,1600
759,1603
760,1607
761,1609
762,1611
763,1612
764,1614
765,1620
766,1623
767,1628
768,1630
769,1632
770,1635
771,1637
772,1642
773,1643
774,1645
775,1650
776,1652
777,1654
778,1663
779,1666
780,1667
781,1672
782,1675
783,1680
784,1681
785,1686
786,1687
787,1696
788,1697
789,1699
790,1703
791,1706
792,1710
793,1717
794,1721
795,1727
796,1732
797,1733
798,1739
799,1742
800,1743
801,1745
802,1748
803,1750
804,1754
805,1759
806,1761
807,1762
808,1764
809,1766
810,1767
811,1772
812,1781
813,1783
814,1784
815,1786
816,1789
817,1794
818,1796
819,1799
820,1805
821,1807
822,1808
823,1809
824,1811
825,1812
826,1815
827,1821
828,1824
829,1827
830,1829
831,1830
832,1831
833,1834
834,1842
835,1850
836,1851
837,1852
838,1855
839,1858
840,1862
841,1869
842,1870
843,1873
844,1874
845,1875
846,1876
847,1877
848,1880
849,1885
850,1888
851,1895
852,1896
853,1900
854,1901
855,1903
856,1912
857,1914
858,1915
859,1919
860,1933
861,1935
862,1941
863,1944
864,1945
865,1946
866,1947
867,1948
868,1949
869,1951
870,1955
871,1956
872,1960
873,1968
874,1977
875,1979
876,1991
877,1998
878,2000
879,2001
880,2005
881,2006
882,2008
883,2009
884,2011
885,2014
886,2016
887,2020
888,2021
889,2024
890,2035
891,2040
892,2044
893,2047
894,2052
895,2054
896,2063
897,2064
898,2065
899,2071
900,2073
901,2077
902,2078
903,2084
904,2093
905,2095
906,2098
907,2101
908,2108
909,2109
910,2112
911,2113
912,2115
913,2119
914,2130
915,2133
916,2134
917,2136
918,2140
919,2142
920,2145
921,2146
922,2147
923,2152
924,2153
925,2165
926,2171
927,2172
928,2173
929,2175
930,2180
931,2187
932,2189
933,2190
934,2191
935,2192
936,2195
937,2197
938,2198
939,2199
940,2208
941,2209
942,2210
943,2214
944,2216
945,2218
946,2220
947,2223
948,2226
949,2228
950,2230
951,2232
952,2234
953,2239
954,2241
955,2248
956,2249
957,2250
958,2255
959,2258
960,2261
961,2267
962,2273
963,2282
964,2288
